date,commit,total_collabs
2016-08-25,9d59804678e95f4b2a90c96c29dc515e22c3e7e6,956
2016-08-28,c9b6f0098d7228d9eb5b0acf678d3bff50c41278,957
2016-08-29,09e94a4322535d029908fed54628e0e354a8cad9,956
2016-08-31,26d80739fe5aee0cde23365e831ce4cc5793e675,957
2016-09-01,50a39c7bd29506e6cfde629e9d98d06316452c48,942
2016-09-02,2b6aa4f8facc7b636dbb5727041094190a72e5a6,944
2016-09-06,eeee7c820f86c916dee8af75e82004928f28c204,947
2016-09-08,1252ff2d8966c4415cac73d99b934d9d7643c369,948
2016-09-09,abe7b76354a892c765c209dfaeaafe7c9e96ca40,947
2016-09-10,4e610122c2eaa08c53ee6a8fd6809bba4827b87a,947
2016-09-13,67a01890ee8c9f406b7ebff9c8dd9afbf8a5fe9f,948
2016-09-14,f20b97319db358eacb8b25d53151380c7e90f31d,946
2016-09-15,24579826eef49f36f0209330285c4614b631827f,944
2016-09-17,8c70335b3f32d893c452acdbb130ed5d11661123,944
2016-09-19,e2e996c2f7623912af6f591995eb39b7edbfada7,942
2016-09-20,9f6ec7c812bc83cf027b78afa9704f2fcbb19afe,945
2016-09-23,96f8fd80e0405ce6999ba3ef997f35e221b46cb9,946
2016-09-27,acc81a4750fce297afca9d972a28ac26fc5eb3c0,946
2016-09-28,488bd233f0510a1ff4dd072ae9d473e437707d9b,947
2016-10-02,a8a36ce46d9f8a43d78d0c7d300589ec00cb8e27,948
2016-10-03,845f25f53161373e4859620d3bbc03a92f80c9fb,947
2016-10-04,2fb96aa11179bc3e3406483c491ce6d06b1bfb2f,946
2016-10-05,d041d1f3f7cd6250495b06d4343f95df04f439a3,947
2016-10-06,ea9b90f0356cf70979ea6dd2929360ee9e01932a,945
2016-10-07,a6e2b702ebea27c5c6e7f4c1d92f30a7a9c3c6da,946
2016-10-10,9d014c1ebec6009dfb3ca10f02fda6eccbc00ca9,945
2016-10-12,d33c3eaf4b15af7ceef93936e84ed51cd51638f2,944
2016-10-13,4bde700a910376a6d5008fb43faca5f9f4415b3a,943
2016-10-15,0bc004c75d94d5c5d7843d0504b3efc95136a7ae,942
2016-10-16,a6fa98e959e7d8af5ddd8b429faaacf2a26ccbd2,943
2016-10-19,20fc72f46a6c3b18aeee8dd270c59534cc51da17,943
2016-10-20,17aef15a8388ec70f677dfd5cb34cb4c7f575c94,946
2016-10-21,3383b73939ab611f8eeee0569a242c87dcb47c57,945
2016-10-22,5ac5af8dbafa42f6fa38a1cfd1c3de76d5797705,946
2016-10-25,413a442fe14b3a3b568580b13d7c7e58edbc1a88,947
2016-10-26,74e07ea47524b45a564e1754dd088a2d1417bd7e,948
2016-10-27,49975b80c878a869170773daa96e4d5f6d212e61,947
2016-11-01,7b61538107f74f99ec913108fc02f24ff791a40a,946
2016-11-02,d87be0324b511c0f760172b39ab8f49fffb6168d,948
2016-11-05,b49c900e7c02e2efe27a58d3f2877cd2ea0b43cd,949
2016-11-15,bbcddae9d76f5ec3ecd54555c4a90731e0156af6,947
2016-11-16,4d6e123fc989493e8ba183c16c8581634b47b62b,943
2016-11-18,381a55803487eab895575262438ba56eb8014864,941
2016-11-19,b3a30ec05c342def7eeb4148b7823b371746c27f,942
2016-11-23,da19f637a6eb07425f5abfc7debe767657f70c9f,943
2016-11-24,5687a2cfd4a915f2d43107ef8c86e10109afeb7a,942
2016-11-25,bdcc421ee1aac3004278e7eaea3ccd7c022728ea,944
2016-11-26,9d4166ea073d065364db5399ac275c407b5bd225,945
2016-12-01,9fe4ed5d7ec531664164e0e5b32e63c34eb94b5f,943
2016-12-02,9a415d253f8db278319ba51123c3b128720327a1,941
2016-12-06,03af7fb0b747a92c03c0a61f3b7846cc95e44fd6,942
2016-12-07,9f2329ad2539b4603b48f04e1173809600b93b74,941
2016-12-08,493e6b7c93ada44122abfb8d49fed48a8472da2e,942
2016-12-10,67570e642348d862d4086f35b8d60171fa9b6d58,941
2016-12-12,2ced5e282cfab4be216d1440129e4e3a906c71cd,940
2016-12-13,79bdc129ec3a885588ea390a46fe733f5c3320ef,936
2016-12-15,a4f70b282c0eb16400a7037f71f0a93c95bda813,937
2016-12-16,e78a7ac7b02457f7b7721c2e5dedb9d5b5b050c6,935
2016-12-22,8ca85903c08f39d2ff4d79304aa67d019575235b,936
2016-12-30,c8a086a2b3b2982fea8dc83b1f5774adbc9c0bbc,935
2017-01-02,5f7de10d168ba6d727a7d41871ca3c2b941b8725,926
2017-01-03,e29bf1a0dd164767dc26e6c06c9b9f679585cd1f,927
2017-01-04,ac882eb2fcf1dbd6642c1d0d1b7fd9abbed7125d,926
2017-01-05,b2ed986dd9d6514df6e360d6487a3e0b94d6fded,927
